component,initial_value,final_value,change_percent,slope,drift_rate,volatility,anomaly,anomaly_score,anomaly_percentile,drift_percentile,risk_score,status,explanation
Test_19_run_1,61.36385780565749,3.26997650269782,-94.6711686330821,-192.53088983563282,274.7800049627124,54.23355850732481,1,0.44436014108291305,78.84615384615384,89.42307692307693,83.60576923076923,CRITICAL,high drift from its initial value; higher-than-usual signal variation
Test_36_run_1,119.39431715143948,209.53729783783461,75.5002271775274,639.9260941031038,1398.9778082948092,60.59774467237246,1,0.467941215702796,84.61538461538461,81.73076923076923,83.3173076923077,CRITICAL,high drift from its initial value; higher-than-usual signal variation
Test_6_run_1,132.23225589931005,12.766630505103873,-90.34529781082607,-3336.8977877149405,27744.340952837636,40.63826927922687,1,0.42917438646469563,76.92307692307693,85.57692307692307,80.8173076923077,CRITICAL,high drift from its initial value; higher-than-usual signal variation
Test_5_run_1,102.75006500364763,3.06269681605063,-97.01927505744851,-2352.901853792691,2124.7156064723595,25.553930646296287,1,0.40143969993213635,68.26923076923077,94.23076923076923,79.95192307692308,CRITICAL,high drift from its initial value
Test_23_run_2,5.582596492624447,2.4258705493726236,-56.545837540324214,-76468.86667658776,169055.37831668628,114.51087788505268,-1,0.74939425955355,99.03846153846155,55.769230769230774,79.56730769230771,CRITICAL,unusual behavior compared with other components; higher-than-usual signal variation
Test_18_run_1,102.17369978701501,3.754041089609543,-96.32582445635623,-1797.0493920641857,11845.532474964886,20.06757350056502,1,0.398414286105319,66.34615384615384,93.26923076923077,78.46153846153845,CRITICAL,high drift from its initial value
Test_3_run_1,121.1807255475528,5.649354004893712,-95.33807544114944,-2250.503302425898,4868.096275148665,29.464751177885976,1,0.40049327667867873,67.3076923076923,90.38461538461539,77.69230769230771,CRITICAL,high drift from its initial value; higher-than-usual signal variation
Test_15_run_1,98.91275022377638,4.022171157727189,-95.93361710332739,-1379.213312417764,11920.75941710595,19.610092650425244,1,0.39413180543961274,64.42307692307693,92.3076923076923,76.97115384615385,CRITICAL,high drift from its initial value
Test_17_run_1,104.1919045454876,31.784875808801896,-69.49391034989085,-455.01927287789425,133762.33566379262,14.458482742164195,1,0.41433148948321336,72.11538461538461,76.92307692307693,74.27884615384616,WATCH,high drift from its initial value
Test_20_run_2,40.16235697973768,2.3845541040357694,-94.06271373654752,-78.787889065695,8851.123348715355,20.29685232372537,1,0.38660915929541456,61.53846153846154,88.46153846153845,73.65384615384616,WATCH,high drift from its initial value
Test_35_run_1,115.24726433416357,186.27850175393584,61.63377311396654,553.3982489940414,2274.4388917640363,54.82075900825258,1,0.44798013005691534,81.73076923076923,63.46153846153846,73.50961538461539,WATCH,higher-than-usual signal variation
Test_28_run_2,167.19211754620565,52.78186884089914,-68.4304083137694,-3037.8801093007987,11360.072754371586,35.740669410548904,1,0.4066724466673022,70.1923076923077,75.96153846153845,72.78846153846155,WATCH,high drift from its initial value; higher-than-usual signal variation
Test_21_run_1,191.38838936559364,82.38333648284386,-56.95489326394076,1919.1645829910092,38541.854771329155,53.63667455299106,1,0.4745976356845005,85.57692307692307,56.730769230769226,72.59615384615384,WATCH,higher-than-usual signal variation
Test_8_run_4,148.06081414168187,53.20652973580871,-64.0644082337038,-857.1608351865204,134695.7147195374,16.077929913201064,1,0.42024739630651403,75.0,67.3076923076923,71.53846153846155,WATCH,behavior is within the normal population range
Test_18_run_2,100.24519302307215,27.48432268849292,-72.58290212263051,166.10696610668256,83944.28290022901,15.757908489433147,1,0.3898394059401448,63.46153846153846,78.84615384615384,70.38461538461539,WATCH,high drift from its initial value
Test_27_run_3,176.92942149311284,63.43834974652848,-64.14482723609736,-4279.577672539906,14246.866346624007,32.39116802570793,1,0.4083541526482816,71.15384615384616,68.26923076923077,69.85576923076924,WATCH,higher-than-usual signal variation
Test_27_run_2,184.85135932501538,65.27714149148015,-64.68668570799791,-3996.4840768421027,16254.827122049692,33.29328188162752,1,0.40482769842689803,69.23076923076923,69.23076923076923,69.23076923076923,WATCH,higher-than-usual signal variation
Test_13_run_4,81.20011182086071,37.16068845634548,-54.23566837158067,-1005.9847298943283,171342.86912358564,14.426771810950015,1,0.46209531425298,82.6923076923077,51.92307692307693,68.84615384615385,WATCH,behavior is within the normal population range
Test_8_run_2,137.90073204754367,44.93645489239312,-67.4139112786572,-839.4722252460721,100454.38642417651,17.02620475380747,1,0.3941907927331408,65.38461538461539,73.07692307692307,68.84615384615384,WATCH,behavior is within the normal population range
Test_12_run_7,68.15081135858233,5.892884247733762,-91.35317081299492,-282.27501243511324,3160.103168798443,13.982248241009604,1,0.37172175902458043,53.84615384615385,86.53846153846155,68.55769230769232,WATCH,high drift from its initial value
Test_32_run_1,12.038758250332611,18.961293677938222,57.50207192185937,70.71924477905618,27.131775619326355,5.390850921674047,1,0.416755509535895,74.03846153846155,58.65384615384615,67.11538461538463,WATCH,behavior is within the normal population range
Test_24_run_1,109.65005259671752,69.35974706965483,-36.74444705945216,-46051.711146319256,195143.506953135,99.84651763159059,-1,0.6904916304544015,97.11538461538461,29.807692307692307,66.82692307692308,WATCH,unusual behavior compared with other components; higher-than-usual signal variation
Test_22_run_1,186.44241762164768,65.0324863830985,-65.11926458973987,-770.6399093541337,52974.433701042486,22.433099299813435,1,0.38942872815139185,62.5,70.1923076923077,65.96153846153847,WATCH,behavior is within the normal population range
Test_16_run_1,97.84493872538427,31.82097852068428,-67.47815580937197,-493.70164906121585,80615.05488971097,15.321323746394528,1,0.37555235329191106,58.65384615384615,74.03846153846155,65.5769230769231,WATCH,behavior is within the normal population range
Test_19_run_2,78.17519681160594,102.94053962784926,31.67928425677634,13662.597975533808,230913.39078841938,5.720171756758336,-1,0.6517922595378731,95.1923076923077,21.153846153846153,61.875,WATCH,unusual behavior compared with other components
Test_8_run_1,138.46113425140416,51.959491640447645,-62.47359093122456,-1211.266957055246,31208.09010237536,19.85734702221072,1,0.37480749677003117,57.692307692307686,65.38461538461539,61.15384615384615,WATCH,behavior is within the normal population range
Test_11_run_1,80.70308787279026,27.163444203070636,-66.34150573533421,-300.0327568678675,72654.13612638963,8.300293273752391,1,0.36569109293845525,48.07692307692308,71.15384615384616,58.46153846153847,WATCH,behavior is within the normal population range
Test_25_run_2,174.53309848259485,32.17079301299927,-81.56751166816174,-135.67068951696353,3720.2481273657577,13.239832444214985,1,0.3565307667119943,38.46153846153847,82.6923076923077,58.36538461538461,WATCH,high drift from its initial value
Test_13_run_1,83.04904183178832,27.68311858290957,-66.66654067005251,-877.255430687984,50530.29612059161,12.082846667223388,1,0.36139144081282565,45.19230769230769,72.11538461538461,57.307692307692314,WATCH,behavior is within the normal population range
Test_25_run_3,143.99737964881948,187.8929196971128,30.4835686283635,1174.429914514944,8834.312679499071,61.045401758160196,1,0.47460447191429983,86.53846153846155,19.230769230769234,56.25000000000001,WATCH,higher-than-usual signal variation
Test_27_run_1,140.2781299494653,64.98272467322974,-53.675797719402105,-2586.309482408172,13761.429578726242,25.580672566359393,1,0.3861014847022658,60.57692307692307,50.96153846153846,56.25,WATCH,behavior is within the normal population range
Test_9_run_2,70.10427029735803,28.902075569185993,-58.77273175144112,-403.82928459244346,97279.81458801322,9.20226894104759,1,0.36914520957456387,51.92307692307693,60.57692307692307,55.81730769230769,WATCH,behavior is within the normal population range
Test_25_run_4,186.8896832110776,181.4079414899496,-2.9331430322650642,-48892.13140651138,423873.0967991195,2.8319763345846494,-1,0.7277811994054559,98.07692307692307,2.8846153846153846,55.24038461538461,WATCH,unusual behavior compared with other components
Test_40_run_2,32.302339797422825,14.287872463202568,-55.768304857151385,572.2990141544487,8150.996599611366,17.424082592155113,1,0.3719144216052266,54.807692307692314,54.807692307692314,54.807692307692314,WATCH,behavior is within the normal population range
Test_23_run_1,150.7018766898374,39.22486002513189,-73.97188350490013,-60.26707375182431,3756.974930949147,10.225669738826163,1,0.3520988319876271,32.69230769230769,79.8076923076923,53.894230769230774,WATCH,high drift from its initial value
Test_8_run_3,140.6415617403207,60.130749956727655,-57.24539089820896,-697.6098130449832,56382.97520678927,16.23926053865124,1,0.365985387087741,49.03846153846153,57.692307692307686,52.93269230769231,WATCH,behavior is within the normal population range
Test_2_run_2,146.6559657246737,157.2083204482088,7.195312288451748,-8365.788406553103,34294.818604388085,52.15361021169296,-1,0.50649668461478,90.38461538461539,4.807692307692308,51.87500000000001,WATCH,unusual behavior compared with other components; higher-than-usual signal variation
Test_24_run_2,168.86636689378358,42.029634121549705,-75.11071334412792,-141.52038027984267,4982.6196514145195,13.23490185022462,1,0.3506807541146825,27.884615384615387,80.76923076923077,51.68269230769231,WATCH,high drift from its initial value
Test_4_run_2,111.40711015577492,87.98142710243043,-21.027098737763982,-5518.240575809462,29921.54410429654,28.11709796911349,1,0.4478449634132277,80.76923076923077,12.5,50.04807692307693,WATCH,higher-than-usual signal variation
Test_7_run_1,109.04426816482929,133.47783752199751,22.407018514934386,1210.9257178745734,1292.7090264473863,50.97570405580994,1,0.4461639754647838,79.8076923076923,13.461538461538462,49.95192307692308,NORMAL,higher-than-usual signal variation
Test_14_run_2,76.12894135523325,40.499768154353205,-46.80108847780577,-269.1001520663274,107817.69481593283,8.044476648499485,1,0.3800058342992972,59.61538461538461,37.5,49.66346153846154,NORMAL,behavior is within the normal population range
Test_12_run_2,89.5428558239229,33.87096826996457,-62.17345542723244,-673.6228141440156,62673.919875183215,10.958123493934114,1,0.35573161831833766,37.5,64.42307692307693,49.61538461538462,NORMAL,behavior is within the normal population range
Test_5_run_2,97.54319287611487,96.15607444359365,-1.42205559570202,1110.7345326227933,117529.07133940415,1.3270174842365734,1,0.4839828559890769,87.5,1.9230769230769231,48.99038461538462,NORMAL,behavior is within the normal population range
Test_40_run_1,30.31583482123716,15.07586337026854,-50.27066396433872,826.6175151887236,47836.50806494133,11.301666478257227,1,0.36890136452971,50.96153846153846,42.30769230769231,47.06730769230769,NORMAL,behavior is within the normal population range
Test_27_run_5,38.60948261445336,15.879553465647843,-58.87136425986718,-64.1194891054635,11850.301290770305,3.3654236216973916,1,0.35505774074473656,34.61538461538461,61.53846153846154,46.73076923076923,NORMAL,behavior is within the normal population range
Test_14_run_3,83.82240509728851,40.22580854575852,-52.01067244602331,-592.2793745880595,84353.50123505939,10.812715526661842,1,0.36223388958525266,46.15384615384615,45.19230769230769,45.721153846153854,NORMAL,behavior is within the normal population range
Test_9_run_3,69.2443570252553,32.3728563975642,-53.24838327871617,-247.59555016582956,72913.92636600569,7.584583834818589,1,0.3600886837529785,42.30769230769231,48.07692307692308,44.90384615384616,NORMAL,behavior is within the normal population range
Test_13_run_5,81.5824455475542,67.94926431485179,-16.71092493146151,-2740.554963127542,23930.318942529873,30.09261485150711,1,0.41534703179302684,73.07692307692307,9.615384615384617,44.51923076923077,NORMAL,higher-than-usual signal variation
Test_27_run_4,38.65304101100978,16.037360920704103,-58.509445825655305,-75.61600100088971,8867.491487934085,3.5419252670772585,1,0.35160626941323997,30.76923076923077,59.61538461538461,43.75,NORMAL,behavior is within the normal population range
Test_37_run_1,117.11623487576924,34.66354647197736,-70.40244120830273,-122.57919122803996,961.5053494463085,13.75151335173755,1,0.3466725021452025,15.384615384615385,77.88461538461539,43.50961538461539,NORMAL,high drift from its initial value
Test_20_run_1,42.12184305107087,13.511453081777201,-67.92292999763603,-85.8481139916573,8928.219794661072,8.238761262283623,1,0.347028304478635,16.346153846153847,75.0,42.74038461538461,NORMAL,high drift from its initial value
Test_14_run_1,74.73194728346479,27.689882694656777,-62.94773025299707,-482.6683278951111,37737.0393794073,9.015887230153588,1,0.3491482777412712,23.076923076923077,66.34615384615384,42.54807692307692,NORMAL,behavior is within the normal population range
Test_9_run_4,72.33450969115866,42.90583024727955,-40.68414864430294,-231.0862888923039,72325.12728391225,7.284726343117097,1,0.3678302416270798,50.0,32.69230769230769,42.21153846153847,NORMAL,behavior is within the normal population range
Test_2_run_1,115.88699867374342,115.61321420268003,-0.23625123973930545,-2815.149764699681,9519.908127949317,31.479756372443646,1,0.42160395511407006,75.96153846153845,0.9615384615384616,42.21153846153846,NORMAL,higher-than-usual signal variation
Test_33_run_1,9.85015648833573,4.969221383872117,-49.551853417181526,-0.6828130387090228,173.91602973647235,1.3842269912318088,1,0.3598383571989084,41.34615384615385,40.38461538461539,40.91346153846154,NORMAL,behavior is within the normal population range
Test_12_run_1,70.25193110603117,31.791598543637868,-54.74629943530608,-641.1116768431889,56812.67439008178,10.93789820122427,1,0.35157274817060175,29.807692307692307,53.84615384615385,40.625,NORMAL,behavior is within the normal population range
Test_9_run_1,60.53304015272459,32.88423243793197,-45.6755643612717,-730.266132164284,67181.09577751692,10.6749604004181,1,0.36032567980406416,43.269230769230774,35.57692307692308,39.807692307692314,NORMAL,behavior is within the normal population range
Test_11_run_3,82.51953319555417,38.450935120511616,-53.40383830166439,-261.47844486984474,58585.22604314865,8.207034410580242,1,0.3516829048477812,31.73076923076923,49.03846153846153,39.51923076923077,NORMAL,behavior is within the normal population range
Test_10_run_4,67.29096342490182,32.06456070718685,-52.34938084521242,-231.3318171950282,24036.742950434862,7.167212943079737,1,0.35084046044214123,28.846153846153843,47.11538461538461,37.06730769230769,NORMAL,behavior is within the normal population range
Test_6_run_2,105.63920133520413,84.86025404569178,-19.669731526631303,313.4889941278373,510.8784947059404,18.08575219299102,1,0.37461946583498407,56.730769230769226,11.538461538461538,36.39423076923077,NORMAL,behavior is within the normal population range
Test_10_run_2,64.92729701273274,29.549783054681477,-54.487889663900404,-354.9661776100665,52887.93151759453,8.140610471408854,1,0.34841896109440185,20.192307692307693,52.88461538461539,34.90384615384615,NORMAL,behavior is within the normal population range
Test_12_run_3,77.19142390108168,42.80282030692737,-44.54977231437232,-749.9206627612716,61233.49323377141,11.497652223314576,1,0.3554360707349387,35.57692307692308,33.65384615384615,34.71153846153847,NORMAL,behavior is within the normal population range
Test_13_run_2,81.09802924835671,33.145241458678605,-59.12941194024044,-666.9738964713454,2226.8870548934046,10.496557502525981,1,0.34595196787547833,11.538461538461538,62.5,34.47115384615385,NORMAL,behavior is within the normal population range
Test_9_run_7,36.16850769996914,32.98417126559998,-8.804168700528903,-4.839429447023846,1059.8041912281597,0.6531419342135497,1,0.3737014434894521,55.769230769230774,5.769230769230769,33.269230769230774,NORMAL,behavior is within the normal population range
Test_11_run_2,71.87128089123885,35.654244182940715,-50.39152810300409,-365.9165919932675,58158.42343319519,8.6985088943752,1,0.34946658376441025,25.0,43.269230769230774,33.221153846153854,NORMAL,behavior is within the normal population range
Test_14_run_7,90.8547481352633,61.51382057602993,-32.29432491029603,341.9093146093574,14469.341856099181,12.477262690676765,1,0.35838886329032593,40.38461538461539,23.076923076923077,32.59615384615385,NORMAL,behavior is within the normal population range
Test_34_run_1,79.42030342399981,89.1114798176411,12.202391549555088,20.456231415482083,857.2839835920149,2.929013374910862,1,0.37036753405473305,52.88461538461539,6.730769230769231,32.11538461538462,NORMAL,behavior is within the normal population range
Test_11_run_4,80.85954042798261,40.444146933871586,-49.98222013159525,-353.3300129211972,57214.800794479335,8.251744074961515,1,0.3487568016582563,22.115384615384613,41.34615384615385,30.769230769230766,NORMAL,behavior is within the normal population range
Test_9_run_6,38.24772082900616,33.40852208112146,-12.65225389381801,-7.538603352471226,1125.2192024252035,0.8728537091287614,1,0.3640121212033493,47.11538461538461,7.6923076923076925,29.375,NORMAL,behavior is within the normal population range
Test_10_run_3,65.90092810800854,31.79950170925681,-51.74650399894304,-380.2919804698138,27135.320670749177,7.598218766148625,1,0.34646484553921286,14.423076923076922,44.230769230769226,27.83653846153846,NORMAL,behavior is within the normal population range
Test_11_run_7,49.72329830577606,31.274648094193324,-37.102627621626006,-15.005243662050304,1597.0139486875257,1.3750550302811286,1,0.3494204077672826,24.03846153846154,30.76923076923077,27.067307692307693,NORMAL,behavior is within the normal population range
Test_42_run_1,8.355775001440458,6.339473207800982,-24.130637712140924,-380.3905148026138,1899.9271907871735,14.33260933872527,1,0.3556637866494829,36.53846153846153,15.384615384615385,27.019230769230766,NORMAL,behavior is within the normal population range
Test_11_run_5,49.1344381245939,31.38060363022031,-36.13317903290863,-8.936448499168089,1498.7580580764734,1.3786820409312635,1,0.3496180314395528,25.961538461538463,27.884615384615387,26.82692307692308,NORMAL,behavior is within the normal population range
Test_8_run_7,79.50683825482295,36.92070030757182,-53.562861864485335,-32.55784515488659,1830.3704615762413,2.9583039904258097,1,0.34512152357176623,7.6923076923076925,50.0,26.73076923076923,NORMAL,behavior is within the normal population range
Test_34_run_2,79.76948472837428,75.55515883021458,-5.2831304006914275,8.285329912436042,890.4395179767132,1.8994742396193045,1,0.3611456782427256,44.230769230769226,3.8461538461538463,26.057692307692307,NORMAL,behavior is within the normal population range
Test_31_run_1,17.495340309896037,10.729878819873646,-38.67007654715467,-18.980813221728628,135.64433038584167,2.6833175208036066,1,0.3485672208344212,21.153846153846153,31.73076923076923,25.91346153846154,NORMAL,behavior is within the normal population range
Test_11_run_6,43.586708369669296,32.32019574184825,-25.848505310992508,-4.236460076187213,1308.4641706495954,0.9996839964951496,1,0.354533778582512,33.65384615384615,16.346153846153847,25.865384615384617,NORMAL,behavior is within the normal population range
Test_9_run_5,40.23128028732887,33.53303518440217,-16.649346118463427,-14.850220572954331,1686.816967785996,1.1308311117582848,1,0.3569523647572964,39.42307692307692,8.653846153846153,25.576923076923077,NORMAL,behavior is within the normal population range
Test_8_run_5,91.40969585332277,57.91459275360954,-36.64283398717305,-43.715152029463034,4380.4847312920865,3.5328076692002766,1,0.34796346263915656,19.230769230769234,28.846153846153843,23.557692307692307,NORMAL,behavior is within the normal population range
Test_13_run_3,79.14019690647932,37.93365464327208,-52.06777828958508,-383.3525293879266,35750.19740367825,8.095553532322626,1,0.34271628374892177,4.807692307692308,46.15384615384615,23.41346153846154,NORMAL,behavior is within the normal population range
Test_14_run_4,85.84203064615214,47.472609764855946,-44.697708794259114,-433.86816207635974,30335.356599375686,8.595922100239445,1,0.3459944088835269,12.5,34.61538461538461,22.451923076923077,NORMAL,behavior is within the normal population range
Test_12_run_4,88.3324947289683,47.18111616597551,-46.58690857680134,-466.69613376334075,27473.12379440111,9.296475262999342,1,0.34500970433446426,6.730769230769231,36.53846153846153,20.144230769230766,NORMAL,behavior is within the normal population range
Test_41_run_1,83.18809001511684,67.38457190511853,-18.997332559416044,23.883940266167787,890.1793111334244,2.8395601126435577,1,0.3502480421581083,26.923076923076923,10.576923076923077,19.567307692307693,NORMAL,behavior is within the normal population range
Test_12_run_5,84.50161873988115,43.39050120822399,-48.651278099426506,-57.67174342510625,3126.57412682404,3.7169587574621294,1,0.34270474043958477,3.8461538461538463,38.46153846153847,19.423076923076927,NORMAL,behavior is within the normal population range
Test_14_run_5,62.0300129458692,40.81785491308764,-34.1966042330059,-29.42452839738429,3295.3401747746257,2.2364055445420368,1,0.3461637922896829,13.461538461538462,25.961538461538463,19.086538461538463,NORMAL,behavior is within the normal population range
Test_25_run_1,149.46396654919795,76.74030581772651,-48.6563165761649,-27.961148742344474,3861.9390313844997,6.93988422605372,1,0.3409237398961582,0.9615384615384616,39.42307692307692,18.269230769230766,NORMAL,behavior is within the normal population range
Test_12_run_6,58.921443829155216,42.00155350632647,-28.716014447793007,-8.605909036088587,1654.8003008859625,1.5545116067195692,1,0.34702910887269645,17.307692307692307,17.307692307692307,17.307692307692307,NORMAL,behavior is within the normal population range
Test_30_run_1,89.37589522909798,69.12335785457908,-22.659954703228617,-24.62833589940158,1365.7250086642862,10.909649826265634,1,0.34716197368402507,18.269230769230766,14.423076923076922,16.538461538461537,NORMAL,behavior is within the normal population range
Test_14_run_6,60.3213353133869,40.996428450610196,-32.0366032389334,-7.170848042037552,1527.2711337104772,1.7257295251599791,1,0.34584624331267455,10.576923076923077,22.115384615384613,15.76923076923077,NORMAL,behavior is within the normal population range
Test_10_run_5,51.673805813763764,34.43262533871585,-33.365416391403556,-25.147239128836887,1816.0276573444903,1.7361908373822792,1,0.3454375266844695,8.653846153846153,24.03846153846154,15.576923076923078,NORMAL,behavior is within the normal population range
Test_8_run_6,91.86266948888465,60.207351901361456,-34.45939222499204,-12.848785802821954,2887.1206441445097,3.000569847469924,1,0.34242405280896765,2.8846153846153846,26.923076923076923,13.701923076923077,NORMAL,behavior is within the normal population range
Test_10_run_6,47.66320516903267,33.48934470943187,-29.737531098327025,-10.714729091035077,1666.732575088532,1.561832818717994,1,0.34577570620270615,9.615384615384617,18.269230769230766,13.509615384615383,NORMAL,behavior is within the normal population range
Test_34_run_3,96.5877707812898,63.93633257424104,-33.80494025582522,-46.34850933378005,1675.4901848395875,7.824082570499095,1,0.3416509678825789,1.9230769230769231,25.0,12.307692307692308,NORMAL,behavior is within the normal population range
Test_10_run_7,47.68673846908695,32.80058544985167,-31.216546774078406,0.8893173551363176,2047.0514046533203,2.3401653631934014,1,0.34347956482084524,5.769230769230769,20.192307692307693,12.259615384615385,NORMAL,behavior is within the normal population range
